Chinese Academy of Sciences (CAS)	181	中国内地
Harvard University	168	美国
Stanford University	141	美国
Tsinghua University	92	中国内地
Massachusetts Institute of Technology (MIT)	84	美国
Max Planck Society	65	德国
University of Oxford	60	英国
University of Pennsylvania	60	美国
Zhejiang University	60	中国内地
University College London	58	英国
Columbia University	56	美国
University of Washington Seattle	56	美国
University of Hong Kong	54	中国香港
University of California Berkeley	53	美国
University of Cambridge	53	英国
Washington University (WUSTL)	53	美国
University of California San Diego	51	美国
Yale University	49	美国
University of California Los Angeles	48	美国
University of California San Francisco	48	美国
Peking University	47	中国内地
National Institutes of Health (NIH) - USA	46	美国
Shanghai Jiao Tong University	46	中国内地
Broad Institute	42	美国
Cornell University	38	美国
National University of Singapore	38	新加坡
University of North Carolina Chapel Hill	38	美国
City University of Hong Kong	37	中国香港
Imperial College London	37	英国
Johns Hopkins University	37	美国
Swiss Federal Institute of Technology Zurich	37	瑞士
Memorial Sloan Kettering Cancer Center	36	美国
Nanyang Technological University	36	新加坡
University of Queensland	34	澳大利亚
Northwestern University	33	美国
University of Melbourne	33	澳大利亚
University of New South Wales Sydney	32	澳大利亚
University of Science and Technology of China (CAS)	32	中国内地
University of Edinburgh	31	英国
New York University	30	美国
University of Toronto	30	加拿大
Princeton University	28	美国
University of Maryland College Park	28	美国
Utrecht University	28	荷兰
Wuhan University	28	中国内地
Beijing Institute of Technology	27	中国内地
Fudan University	27	中国内地
Lawrence Berkeley National Laboratory	27	美国
Mayo Clinic	27	美国
Monash University	27	澳大利亚
University of Minnesota Twin Cities	27	美国
Wageningen University and Research	27	荷兰
Dana-Farber Cancer Institute	26	美国
University of Sydney	26	澳大利亚
University of Texas Austin	26	美国
Weizmann Institute of Science	26	以色列
Adelaide University	25	澳大利亚
California Institute of Technology	25	美国
KU Leuven	25	比利时
South China University of Technology	25	中国内地
Tianjin University	25	中国内地
University of Chicago	24	美国
Duke University	23	美国
Icahn School of Medicine at Mount Sinai	23	美国
McGill University	23	加拿大
Southeast University - China	23	中国内地
Universite Paris Cite	23	法国
University of British Columbia	23	加拿大
Hong Kong Polytechnic University	22	中国香港
Nankai University	22	中国内地
University of Amsterdam	22	荷兰
University of Bristol	22	英国
University of California Santa Cruz	22	美国
China Agricultural University	21	中国内地
Ghent University	21	比利时
Huazhong University of Science and Technology	21	中国内地
King's College London	21	英国
University of Exeter	21	英国
Central South University	20	中国内地
Karolinska Institute	20	瑞典
Nanjing University	20	中国内地
St Jude Children's Research Hospital	20	美国
University of Michigan	20	美国
University of Pittsburgh	20	美国
University of Southern California	20	美国
King Abdullah University of Science and Technology	19	沙特阿拉伯
Leiden University	19	荷兰
Massachusetts General Hospital	19	美国
Pacific Northwest National Laboratory	19	美国
University of Wisconsin Madison	19	美国
Brigham and Women's Hospital	18	美国
Swiss Federal Institute of Technology Lausanne	18	瑞士
Technical University of Denmark	18	丹麦
Universite Paris Saclay	18	法国
University of Colorado Boulder	18	美国
University of Copenhagen	18	丹麦
UTMD Anderson Cancer Center	18	美国
Centers for Disease Control and Prevention - USA	17	美国
Chinese University of Hong Kong	17	中国香港
Sun Yat Sen University	17	中国内地
Technical University of Munich	17	德国
University of Texas Southwestern Medical Center Dallas	17	美国
University of Zurich	17	瑞士
Xi'an Jiaotong University	17	中国内地
European Molecular Biology Laboratory (EMBL)	16	德国
Pennsylvania State University	16	美国
University of Waterloo	16	加拿大
Beihang University	15	中国内地
Dalian University of Technology	15	中国内地
Harbin Institute of Technology	15	中国内地
McMaster University	15	加拿大
Rice University	15	美国
Seoul National University (SNU)	15	韩国
Beijing University of Chemical Technology	14	中国内地
Commonwealth Scientific and Industrial Research Organisation (CSIRO)	14	澳大利亚
Howard Hughes Medical Institute	14	美国
Hunan University	14	中国内地
Jilin University	14	中国内地
London School of Hygiene and Tropical Medicine	14	英国
Sichuan University	14	中国内地
United States Department of Energy (DOE)	14	美国
University of Glasgow	14	英国
University of Munich	14	德国
University of Tokyo	14	日本
Charite Universitatsmedizin Berlin	13	德国
China University of Geosciences	13	中国内地
Harvard Medical School	13	美国
Potsdam Institut fur Klimafolgenforschung	13	德国
Rockefeller University	13	美国
Ruprecht Karls University Heidelberg	13	德国
Soochow University - China	13	中国内地
University of California Irvine	13	美国
University of Illinois Urbana-Champaign	13	美国
Xiamen University	13	中国内地
Beijing Normal University	12	中国内地
Boston University	12	美国
European Bioinformatics Institute	12	英国
European Commission Joint Research Centre	12	比利时
Hong Kong University of Science and Technology	12	中国香港
NIH National Cancer Institute (NCI)	12	美国
Northeastern University	12	美国
Oak Ridge National Laboratory	12	美国
Scripps Research Institute	12	美国
Southern University of Science and Technology	12	中国内地
Swinburne University of Technology	12	澳大利亚
University of Ottawa	12	加拿大
University of Western Australia	12	澳大利亚
Vanderbilt University	12	美国
Wellcome Trust Sanger Institute	12	英国
Aarhus University	11	丹麦
Australian National University	11	澳大利亚
Consejo Superior de Investigaciones Cientificas (CSIC)	11	西班牙
Emory University	11	美国
Helmholtz Association	11	德国
International Institute for Applied Systems Analysis (IIASA)	11	奥地利
National Renewable Energy Laboratory - USA	11	美国
NIH National Library of Medicine (NLM)	11	美国
Ohio State University	11	美国
University of Basel	11	瑞士
University of Calgary	11	加拿大
University of Groningen	11	荷兰
University of Manchester	11	英国
University of Vienna	11	奥地利
Western University (University of Western Ontario)	11	加拿大
Baylor College of Medicine	10	美国
Genentech	10	美国
Lund University	10	瑞典
Nanjing Agricultural University	10	中国内地
Netherlands Cancer Institute	10	荷兰
Purdue University	10	美国
Rutgers State University New Brunswick	10	美国
Salk Institute	10	美国
Shandong University	10	中国内地
Tongji University	10	中国内地
University of California Davis	10	美国
University of Electronic Science and Technology of China	10	中国内地
University of Freiburg	10	德国
University of Nottingham	10	英国
Vrije Universiteit Amsterdam	10	荷兰
Wuhan University of Technology	10	中国内地
American Cancer Society	9	美国
Chinese Academy of Agricultural Sciences	9	中国内地
Deakin University	9	澳大利亚
East China University of Science and Technology	9	中国内地
Georgia Institute of Technology	9	美国
Michigan State University	9	美国
Queens University Belfast	9	英国
Ulsan National Institute of Science and Technology (UNIST)	9	韩国
University of Alberta	9	加拿大
University of California Santa Barbara	9	美国
University of Naples Federico II	9	意大利
Aalborg University	8	丹麦
Erasmus University Rotterdam	8	荷兰
Guangdong University of Technology	8	中国内地
Indiana University Bloomington	8	美国
La Jolla Institute for Immunology	8	美国
MRC Laboratory of Molecular Biology	8	英国
North Carolina State University	8	美国
Ontario Institute For Cancer Research	8	加拿大
Oregon Health and Science University	8	美国
RIKEN	8	日本
Sorbonne Universite	8	法国
SRI International	8	美国
Stockholm University	8	瑞典
Texas A and M University At College Station	8	美国
University of Aberdeen	8	英国
University of Birmingham	8	英国
University of Gothenburg	8	瑞典
University of Padua	8	意大利
University of Technology Sydney	8	澳大利亚
University of Trento	8	意大利
US Department of Veterans Affairs	8	美国
Virginia Polytechnic Institute and State University	8	美国
Zhejiang University of Technology	8	中国内地
Zhengzhou University	8	中国内地
Agency for Science Technology and Research (A*STAR)	7	新加坡
Aix-Marseille Universite	7	法国
Brookhaven National Laboratory	7	美国
Case Western Reserve University	7	美国
Children's Hospital Boston	7	美国
Chongqing University	7	中国内地
Erasmus MC	7	荷兰
Huazhong Agricultural University	7	中国内地
Kyoto University	7	日本
Leiden University Medical Center (LUMC)	7	荷兰
Nanjing University of Information Science and Technology	7	中国内地
Nanjing University of Science and Technology	7	中国内地
National Center Atmospheric Research (NCAR) - USA	7	美国
Queensland University of Technology (QUT)	7	澳大利亚
Radboud University Nijmegen	7	荷兰
Shenzhen University	7	中国内地
Technische Universitat Dresden	7	德国
Universidade de Sao Paulo	7	巴西
Universite Catholique Louvain	7	比利时
University College Cork	7	爱尔兰
University of Barcelona	7	西班牙
University of Bern	7	瑞士
University of Bonn	7	德国
University of Leeds	7	英国
University of Massachusetts Amherst	7	美国
University of Oslo	7	挪威
University of Southampton	7	英国
Westlake University	7	中国内地
Arizona State University	6	美国
AstraZeneca	6	英国
Australian Catholic University	6	澳大利亚
Beijing University of Technology	6	中国内地
Beth Israel Deaconess Medical Center	6	美国
China University of Petroleum	6	中国内地
Curtin University	6	澳大利亚
Dalian Institute of Chemical Physics (CAS)	6	中国内地
Drexel University	6	美国
Durham University	6	英国
East China Normal University	6	中国内地
Eastern Institute of Technology Ningbo	6	中国内地
Fuzhou University	6	中国内地
Hanyang University	6	韩国
Heinrich Heine University Dusseldorf	6	德国
Keio University	6	日本
Nanjing University of Aeronautics and Astronautics	6	中国内地
Nanjing University of Posts and Telecommunications	6	中国内地
National Oceanic Atmospheric Admin (NOAA) - USA	6	美国
Northwestern Polytechnical University	6	中国内地
Norwegian University of Science and Technology (NTNU)	6	挪威
Oregon State University	6	美国
Roche Holding	6	瑞士
Sungkyunkwan University (SKKU)	6	韩国
Taif University	6	沙特阿拉伯
Technical University of Berlin	6	德国
University of Auckland	6	新西兰
University of Duisburg Essen	6	德国
University of Erlangen Nuremberg	6	德国
University of Lausanne	6	瑞士
University of Liverpool	6	英国
University of Missouri Columbia	6	美国
University of Navarra	6	西班牙
University of Shanghai for Science and Technology	6	中国内地
University of Victoria	6	加拿大
Wenzhou University	6	中国内地
Anhui University	5	中国内地
Bangor University	5	英国
Beijing Genomics Institute (BGI)	5	中国内地
City University of New York (CUNY) System	5	美国
Colorado State University	5	美国
Delft University of Technology	5	荷兰
Fred Hutchinson Cancer Center	5	美国
Goddard Space Flight Center	5	美国
Google Incorporated	5	美国
Hebrew University of Jerusalem	5	以色列
Institute of Chemistry (CAS)	5	中国内地
International Agency for Research on Cancer (IARC)	5	法国
Jinan University	5	中国内地
Johnson and Johnson USA	5	美国
King Saud University	5	沙特阿拉伯
Korea Advanced Institute of Science and Technology (KAIST)	5	韩国
Lanzhou University	5	中国内地
Linkoping University	5	瑞典
London School Economics and Political Science	5	英国
Louisiana State University And Agricultural and Mechanical College	5	美国
Medical University of Vienna	5	奥地利
Nanjing Tech University	5	中国内地
NASA Goddard Space Flight Center	5	美国
Northern Arizona University	5	美国
Ocean University of China	5	中国内地
Pennsylvania Commonwealth System of Higher Education (PCSHE)	5	美国
Royal Melbourne Institute of Technology (RMIT)	5	澳大利亚
Shanghaitech University	5	中国内地
South China Agricultural University	5	中国内地
Temple University	5	美国
Tohoku University	5	日本
Unity Health Toronto	5	加拿大
Universita Cattolica Del Sacro Cuore	5	意大利
University of Antwerp	5	比利时
University of California Merced	5	美国
University of California Riverside	5	美国
University of Cape Town	5	南非
University of Cologne	5	德国
University of Colorado Anschutz Medical Campus	5	美国
University of Delaware	5	美国
University of East Anglia	5	英国
University of Geneva	5	瑞士
University of Helsinki	5	芬兰
University of Innsbruck	5	奥地利
University of Kiel	5	德国
University of Oklahoma - Norman	5	美国
University of Science and Technology Beijing	5	中国内地
University of Sheffield	5	英国
University of Sussex	5	英国
University of Tasmania	5	澳大利亚
University of Utah	5	美国
University of Virginia	5	美国
University of Wurzburg	5	德国
