101-150	Adelaide University	阿德莱德大学	澳大利亚
101-150	Arizona State University	亚利桑那州立大学	美国
101-150	Beihang University	北京航空航天大学	中国内地
101-150	Beijing Institute of Technology	北京理工大学	中国内地
101-150	Beijing Normal University	北京师范大学	中国内地
101-150	Boston University	波士顿大学	美国
101-150	Brown University	布朗大学	美国
101-150	Carnegie Mellon University	卡内基梅隆大学	美国
101-150	Emory University	埃莫里大学	美国
101-150	Erasmus University Rotterdam	伊拉斯姆斯大学	荷兰
101-150	Icahn School of Medicine at Mount Sinai	西奈山医学院	美国
101-150	Jilin University	吉林大学	中国内地
101-150	Leiden University	莱顿大学	荷兰
101-150	Lund University	隆德大学	瑞典
101-150	Mayo Clinic College of Medicine and Science	梅奥诊所医学与科学学院	美国
101-150	McMaster University	麦克马斯特大学	加拿大
101-150	Nagoya University	名古屋大学	日本
101-150	Nankai University	南开大学	中国内地
101-150	Osaka University	大阪大学	日本
101-150	Pennsylvania State University, University Park	宾夕法尼亚州立大学-帕克	美国
101-150	Rice University	莱斯大学	美国
101-150	Rutgers, The State University of New Jersey - New Brunswick	罗格斯大学-新布朗斯维克	美国
101-150	Shandong University	山东大学	中国内地
101-150	Soochow University (Suzhou)	苏州大学	中国内地
101-150	South China University of Technology	华南理工大学	中国内地
101-150	Southern University of Science and Technology	南方科技大学	中国内地
101-150	Stockholm University	斯德哥尔摩大学	瑞典
101-150	Technical University of Denmark	丹麦技术大学	丹麦
101-150	Technion-Israel Institute of Technology	以色列理工学院	以色列
101-150	The Australian National University	澳大利亚国立大学	澳大利亚
101-150	The Chinese University of Hong Kong	香港中文大学	中国香港
101-150	The Hong Kong Polytechnic University	香港理工大学	中国香港
101-150	The London School of Economics and Political Science	伦敦政治经济学院	英国
101-150	The University of Warwick	华威大学	英国
101-150	The University of Western Australia	西澳大学	澳大利亚
101-150	Tongji University	同济大学	中国内地
101-150	Université libre de Bruxelles (ULB)	布鲁塞尔自由大学（法语）	比利时
101-150	University of Alberta	阿尔伯塔大学	加拿大
101-150	University of Amsterdam	阿姆斯特丹大学	荷兰
101-150	University of Birmingham	伯明翰大学	英国
101-150	University of California, Davis	加州大学-戴维斯	美国
101-150	University of Freiburg	弗莱堡大学	德国
101-150	University of Helsinki	赫尔辛基大学	芬兰
101-150	University of Nottingham	诺丁汉大学	英国
101-150	University of Pittsburgh	匹兹堡大学	美国
101-150	University of Sao Paulo	圣保罗大学	巴西
101-150	University of Strasbourg	斯特拉斯堡大学	法国
101-150	University of Vienna	维也纳大学	奥地利
101-150	Wageningen University & Research	瓦格宁根大学	荷兰
101-150	Xiamen University	厦门大学	中国内地
151-200	Aix Marseille University	艾克斯-马赛大学	法国
151-200	Case Western Reserve University	凯斯西储大学	美国
151-200	China Agricultural University	中国农业大学	中国内地
151-200	Chongqing University	重庆大学	中国内地
151-200	Dalian University of Technology	大连理工大学	中国内地
151-200	Delft University of Technology	代尔夫特理工大学	荷兰
