1	University of Amsterdam	阿姆斯特丹大学	荷兰
2	University of Vienna	维也纳大学	奥地利
3	Pennsylvania State University, University Park	宾夕法尼亚州立大学	美国
4	The University of Texas at Austin	得克萨斯大学奥斯汀分校	美国
5	Michigan State University	密歇根州立大学	美国
6	Ohio State University, Columbus	俄亥俄州立大学	美国
7	The Chinese University of Hong Kong	香港中文大学	中国香港
8	University of Minnesota, Twin Cities	明尼苏达大学双城分校	美国
9	LMU Munich	慕尼黑大学	德国
10	Nanyang Technological University	南洋理工大学	新加坡
11	University of Pennsylvania	宾夕法尼亚大学	美国
12	Northwestern University	西北大学	美国
13	University of Zurich	苏黎世大学	瑞士
14	University of California, Davis	加州大学-戴维斯	美国
15	University of Wisconsin, Madison	威斯康星大学-麦迪逊	美国
16	KU Leuven	荷语鲁汶大学	比利时
17	The Hebrew University of Jerusalem	希伯来大学	以色列
18	University of Illinois Urbana, Champaign	伊利诺伊大学厄巴纳-香槟分校	美国
18	University of Southern California	南加利福尼亚大学	美国
20	University of Colorado Boulder	科罗拉多大学博尔德分校	美国
21	Loughborough University	拉夫伯勒大学	英国
22	University at Buffalo, the State University of New York	纽约州立大学布法罗分校	美国
23	Free University Berlin	柏林自由大学	德国
24	University of California, Santa Barbara	加州大学-圣巴巴拉	美国
25	Boston University	波士顿大学	美国
26	Northeastern University (Boston)	东北大学	美国
27	University of Michigan, Ann Arbor	密歇根大学-安娜堡	美国
28	University of Groningen	格罗宁根大学	荷兰
29	University of Oxford	牛津大学	英国
30	The University of Georgia	佐治亚大学	美国
31	University of Florida	佛罗里达大学	美国
32	University of Arizona	亚利桑那大学	美国
33	Indiana University, Bloomington	印第安纳大学伯明顿分校	美国
34	City University of Hong Kong	香港城市大学	中国香港
35	National University of Singapore	新加坡国立大学	新加坡
36	Rutgers, The State University of New Jersey - New Brunswick	罗格斯大学	美国
37	University of Missouri, Columbia	密苏里大学哥伦比亚分校	美国
37	Vrije Universiteit Amsterdam	阿姆斯特丹自由大学	荷兰
39	Radboud University Nijmegen	拉德堡德大学	荷兰
40	University of Connecticut	康涅狄格大学	美国
41	Hong Kong Baptist University	香港浸会大学	中国香港
42	University of Illinois Chicago	伊利诺伊大学芝加哥分校	美国
