1	Massachusetts Institute of Technology	麻省理工学院	美国
2	Tsinghua University	清华大学	中国
3	Stanford University	斯坦福大学	美国
4	Shanghai Jiao Tong University	上海交通大学	中国
5	University of California, Berkeley	加州大学-伯克利	美国
6	The Hong Kong University of Science and Technology	香港科技大学	中国香港
7	Nanyang Technological University	南洋理工大学	新加坡
8	Zhejiang University	浙江大学	中国
9	Carnegie Mellon University	卡内基梅隆大学	美国
10	Princeton University	普林斯顿大学	美国
11	Huazhong University of Science and Technology	华中科技大学	中国
12	Xidian University	西安电子科技大学	中国
13	The Hong Kong Polytechnic University	香港理工大学	中国香港
14	National University of Singapore	新加坡国立大学	新加坡
15	University of Illinois Urbana, Champaign	伊利诺伊大学厄巴纳-香槟	美国
16	The Chinese University of Hong Kong	香港中文大学	中国香港
17	Peking University	北京大学	中国
18	Wuhan University	武汉大学	中国
19	Southeast University	东南大学	中国
20	The University of New South Wales	新南威尔士大学	澳大利亚
21	Harbin Institute of Technology	哈尔滨工业大学	中国
22	Harvard University	哈佛大学	美国
23	University of Oxford	牛津大学	英国
24	University of California, San Diego	加州大学-圣地亚哥	美国
25	Imperial College London	帝国理工学院	英国
26	Sun Yat-sen University	中山大学	中国
27	Beihang University	北京航空航天大学	中国
28	The University of Texas at Austin	德克萨斯州大学-奥斯汀	美国
29	Swinburne University of Technology	斯威本科技大学	澳大利亚
30	The University of Edinburgh	爱丁堡大学	英国
31	University of Science and Technology of China	中国科学技术大学	中国
32	The University of Hong Kong	香港大学	中国香港
33	Columbia University	哥伦比亚大学	美国
33	Georgia Institute of Technology	佐治亚理工学院	美国
35	University College London	伦敦大学学院	英国
36	Virginia Polytechnic Institute and State University	弗吉尼亚理工大学	美国
37	Purdue University, West Lafayette	普渡大学-西拉法叶	美国
38	University of Sydney	悉尼大学	澳大利亚
39	University of Montreal	蒙特利尔大学	加拿大
40	Beijing University of Posts and Telecommunications	北京邮电大学	中国
41	Beijing Institute of Technology	北京理工大学	中国
42	ETH Zurich	苏黎世联邦理工学院	瑞士
43	University of Toronto	多伦多大学	加拿大
44	Nanjing University	南京大学	中国
45	Cornell University	康奈尔大学	美国
46	University of Electronic Science and Technology of China	电子科技大学	中国
47	City University of Hong Kong	香港城市大学	中国香港
48	University of Waterloo	滑铁卢大学	加拿大
49	Monash University	莫纳什大学	澳大利亚
50	University of Technology Sydney	悉尼科技大学	澳大利亚
51-75	Central South University	中南大学	中国
51-75	Delft University of Technology	代尔夫特理工大学	荷兰
51-75	Fudan University	复旦大学	中国
51-75	Nanjing University of Aeronautics and Astronautics	南京航空航天大学	中国
51-75	New York University	纽约大学	美国
51-75	RMIT University	皇家墨尔本理工大学	澳大利亚
51-75	Rutgers, The State University of New Jersey - New Brunswick	罗格斯大学-新布朗斯维克	美国
51-75	Shandong University	山东大学	中国
51-75	Shenzhen University	深圳大学	中国
51-75	Singapore Management University	新加坡管理大学	新加坡
51-75	South China University of Technology	华南理工大学	中国
51-75	Swiss Federal Institute of Technology Lausanne	洛桑联邦理工学院	瑞士
51-75	Technical University of Munich	慕尼黑工业大学	德国
51-75	The University of Manchester	曼彻斯特大学	英国
51-75	The University of Tennessee, Knoxville	田纳西大学-诺克斯维尔	美国
51-75	The University of Texas at Dallas	德克萨斯大学-达拉斯	美国
51-75	Tongji University	同济大学	中国
51-75	University of Cambridge	剑桥大学	英国
51-75	University of Copenhagen	哥本哈根大学	丹麦
51-75	University of Michigan, Ann Arbor	密歇根大学-安娜堡	美国
51-75	University of Oslo	奥斯陆大学	挪威
51-75	University of Pennsylvania	宾夕法尼亚大学	美国
51-75	University of Southern California	南加州大学	美国
51-75	University of Washington	华盛顿大学	美国
51-75	Vienna University of Technology	维也纳工业大学	奥地利
76-100	Chongqing University	重庆大学	中国
76-100	Chongqing University of Posts and Telecommunications	重庆邮电大学	中国
76-100	Dalian University of Technology	大连理工大学	中国
76-100	Duke University	杜克大学	美国
76-100	Korea Advanced Institute of Science and Technology	韩国科学技术院	韩国
76-100	Kyung Hee University	庆熙大学	韩国
76-100	Michigan State University	密歇根州立大学	美国
76-100	Nanjing University of Information Science & Technology	南京信息工程大学	中国
76-100	Northeastern University (Boston)	东北大学（波士顿）	美国
76-100	Northeastern University (Shenyang)	东北大学（沈阳）	中国
76-100	Northwestern University	西北大学（埃文斯顿）	美国
76-100	NTNU - Norwegian University of Science and Technology	挪威科学技术大学	挪威
76-100	Singapore University of Technology and Design	新加坡科技设计大学	新加坡
76-100	Southern University of Science and Technology	南方科技大学	中国
76-100	Tel Aviv University	特拉维夫大学	以色列
76-100	Texas A&M University	德州农工大学	美国
76-100	Tianjin University	天津大学	中国
76-100	University of British Columbia	英属哥伦比亚大学	加拿大
76-100	University of California, Irvine	加州大学-欧文	美国
76-100	University of Illinois Chicago	伊利诺大学-芝加哥	美国
76-100	University of Maryland, College Park	马里兰大学-大学城	美国
76-100	University of Rennes	雷恩大学	法国
76-100	University of Virginia	弗吉尼亚大学	美国
76-100	University of Wisconsin, Madison	威斯康星大学-麦迪逊	美国
76-100	Xi'an Jiaotong University	西安交通大学	中国
