1	Tsinghua University	清华大学	中国内地
2	Carnegie Mellon University	卡内基梅隆大学	美国
3	Peking University	北京大学	中国内地
4	Zhejiang University	浙江大学	中国内地
5	Shanghai Jiao Tong University	上海交通大学	中国内地
6	University of Illinois at Urbana-Champaign	伊利诺伊大学厄巴纳-香槟分校	美国
7	Nanjing University	南京大学	中国内地
8	Nanyang Technological University	南洋理工大学	新加坡
9	Massachusetts Institute of Technology	麻省理工学院	美国
10	KAIST	韩国科学技术院	韩国
11	University of California, San Diego	加州大学圣迭戈分校	美国
12	HKUST	香港科技大学	中国香港
13	Stanford University	斯坦福大学	美国
14	University of California, Berkeley	加州大学伯克利分校	美国
15	Georgia Institute of Technology	佐治亚理工学院	美国
16	Chinese Academy of Sciences	中国科学院	中国内地
17	National University of Singapore	新加坡国立大学	新加坡
18	Cornell University	康奈尔大学	美国
19	University of Maryland, College Park	马里兰大学帕克分校	美国
20	University of Washington	华盛顿大学	美国
21	ETH Zurich	苏黎世联邦理工学院	瑞士
22	Chinese University of Hong Kong	香港中文大学	中国香港
23	USTC	中国科学技术大学	中国内地
24	Seoul National University	首尔大学	韩国
25	University of Michigan	密歇根大学	美国
26	New York University	纽约大学	美国
27	Northeastern University	美国东北大学	美国
28	TU Munich	慕尼黑工业大学	德国
29	Fudan University	复旦大学	中国内地
30	MBZUAI	穆罕默德·本·扎耶德人工智能大学	阿联酋
31	University of Toronto	多伦多大学	加拿大
32	University of Pennsylvania	宾夕法尼亚大学	美国
33	EPFL	洛桑联邦理工学院	瑞士
34	University of Texas at Austin	得克萨斯大学奥斯汀分校	美国
35	Harbin Institute of Technology	哈尔滨工业大学	中国内地
36	University of Wisconsin - Madison	威斯康星大学麦迪逊分校	美国
37	University of Edinburgh	爱丁堡大学	英国
38	Technion	以色列理工学院	以色列
39	Renmin University of China	中国人民大学	中国内地
40	Purdue University	普渡大学	美国
41	Princeton University	普林斯顿大学	美国
42	Max Planck Society	马克斯·普朗克学会	德国
43	University of California, Los Angeles	加州大学洛杉矶分校	美国
44	University of Waterloo	滑铁卢大学	加拿大
45	Tel Aviv University	特拉维夫大学	以色列
46	Johns Hopkins University	约翰斯·霍普金斯大学	美国
47	Columbia University	哥伦比亚大学	美国
48	University of Oxford	牛津大学	英国
49	University of Southern California	南加州大学	美国
50	University of Massachusetts Amherst	马萨诸塞大学阿默斯特分校	美国
51	University of Hong Kong	香港大学	中国香港
52	Wuhan University	武汉大学	中国内地
53	CISPA Helmholtz Center	亥姆霍兹信息安全中心	德国
54	Beihang University	北京航空航天大学	中国内地
55	Singapore Management University	新加坡管理大学	新加坡
56	Sun Yat-sen University	中山大学	中国内地
57	University of Cambridge	剑桥大学	英国
58	UESTC	电子科技大学	中国内地
59	University of California, Irvine	加州大学欧文分校	美国
60	HUST	华中科技大学	中国内地
61	Duke University	杜克大学	美国
62	University of Tokyo	东京大学	日本
63	University of Virginia	弗吉尼亚大学	美国
64	Monash University	莫纳什大学	澳大利亚
65	Imperial College London	帝国理工学院	英国
66	CUHK (SZ)	香港中文大学（深圳）	中国内地
67	Boston University	波士顿大学	美国
68	Northwestern University	西北大学	美国
69	University of North Carolina	北卡罗来纳大学教堂山分校	美国
70	University of Chicago	芝加哥大学	美国
71	University of British Columbia	不列颠哥伦比亚大学	加拿大
72	Arizona State University	亚利桑那州立大学	美国
73	Texas A&M University	得克萨斯A&M大学	美国
74	Harvard University	哈佛大学	美国
75	Southeast University	东南大学	中国内地
76	TU Darmstadt	达姆施塔特工业大学	德国
77	Pennsylvania State University	宾夕法尼亚州立大学	美国
78	Rutgers University	罗格斯大学	美国
79	University of Central Florida	中佛罗里达大学	美国
80	University of Melbourne	墨尔本大学	澳大利亚
81	Stony Brook University	纽约州立大学石溪分校	美国
82	City University of Hong Kong	香港城市大学	中国香港
83	University College London	伦敦大学学院	英国
84	TU Wien	维也纳工业大学	奥地利
85	The Hong Kong Polytechnic University	香港理工大学	中国香港
86	University of Sydney	悉尼大学	澳大利亚
87	University of Illinois at Chicago	伊利诺伊大学芝加哥分校	美国
88	University of California, Riverside	加州大学里弗赛德分校	美国
89	Nankai University	南开大学	中国内地
90	University of Utah	犹他大学	美国
91	University of Copenhagen	哥本哈根大学	丹麦
92	BUPT	北京邮电大学	中国内地
93	University of California, Santa Barbara	加州大学圣塔芭芭拉分校	美国
94	Simon Fraser University	西蒙弗雷泽大学	加拿大
95	Ohio State University	俄亥俄州立大学	美国
96	POSTECH	浦项科技大学	韩国
97	TU Delft	代尔夫特理工大学	荷兰
98	Virginia Tech	弗吉尼亚理工大学	美国
99	Shenzhen University	深圳大学	中国内地
100	George Mason University	乔治梅森大学	美国
