1	Chinese Academy of Sciences (CAS)	China	3655.1	12822.0
2	Zhejiang University (ZJU)	China	1276.85	3213.0
3	Harvard University	United States of America (USA)	1259.01	4246.0
4	Tsinghua University	China	1213.59	4062.0
5	Shanghai Jiao Tong University (SJTU)	China	1191.47	3301.0
6	University of Science and Technology of China (USTC)	China	1128.58	3763.0
7	Peking University (PKU)	China	1066.49	4264.0
8	University of Chinese Academy of Sciences (UCAS)	China	1055.67	5191.0
9	Nanjing University (NJU)	China	952.65	2609.0
10	Sichuan University (SCU)	China	880.93	1721.0
11	Fudan University	China	872.5	2662.0
12	Sun Yat-sen University (SYSU)	China	839.24	2160.0
13	Max Planck Society	Germany	764.09	3218.0
14	Stanford University	United States of America (USA)	711.53	2348.0
15	Xi'an Jiaotong University (XJTU)	China	708.45	1528.0
16	French National Centre for Scientific Research (CNRS)	France	701.98	5212.0
17	Huazhong University of Science and Technology (HUST)	China	697.95	1527.0
18	Helmholtz Association of German Research Centres	Germany	682.0	3406.0
19	Jilin University (JLU)	China	651.71	1332.0
20	Shandong University (SDU)	China	615.77	1813.0
21	Massachusetts Institute of Technology (MIT)	United States of America (USA)	593.59	2418.0
22	Wuhan University (WHU)	China	588.25	1342.0
23	Tianjin University (TJU)	China	565.88	1792.0
24	Nankai University (NKU)	China	560.46	1554.0
25	Tongji University	China	551.06	1462.0
26	Harbin Institute of Technology (HIT)	China	541.99	1125.0
27	The University of Tokyo (UTokyo)	Japan	530.31	1550.0
28	Central South University (CSU)	China	527.5	1196.0
29	Beijing Institute of Technology (BIT)	China	524.44	1114.0
30	Southern University of Science and Technology (SUSTech)	China	507.54	1461.0
31	Xiamen University (XMU)	China	501.73	1136.0
32	University of Oxford	United Kingdom (UK)	497.98	1984.0
33	South China University of Technology (SCUT)	China	481.52	1060.0
34	University of Cambridge	United Kingdom (UK)	465.44	1716.0
35	Swiss Federal Institute of Technology Zurich (ETH Zurich)	Switzerland	458.51	1357.0
36	University of California, Berkeley (UC Berkeley)	United States of America (USA)	450.89	1708.0
37	University of Michigan (U-M)	United States of America (USA)	450.54	1594.0
38	Dalian University of Technology (DUT)	China	447.69	814.0
39	Soochow University	China	442.18	1069.0
40	National Institutes of Health (NIH)	United States of America (USA)	438.21	1298.0
41	Chongqing University (CQU)	China	434.23	1043.0
42	Hunan University (HNU)	China	433.66	920.0
43	University of California, San Diego (UC San Diego)	United States of America (USA)	427.96	1338.0
44	Southeast University (SEU)	China	420.23	1081.0
45	Yale University	United States of America (USA)	418.99	1485.0
46	University of California, Los Angeles (UCLA)	United States of America (USA)	417.77	1500.0
47	University of Pennsylvania (Penn)	United States of America (USA)	415.14	1440.0
48	University of Toronto (U of T)	Canada	414.87	1397.0
49	National University of Singapore (NUS)	Singapore	412.22	1515.0
50	Northwestern University (NU)	United States of America (USA)	401.97	1180.0
51	Zhengzhou University (ZZU)	China	398.23	1174.0
52	Columbia University in the City of New York (CU)	United States of America (USA)	390.38	1478.0
53	Cornell University	United States of America (USA)	388.32	1349.0
