1	Massachusetts Institute of Technology	麻省理工学院	美国
2	Stanford University	斯坦福大学	美国
3	Carnegie Mellon University	卡内基梅隆大学	美国
4	National University of Singapore	新加坡国立大学	新加坡
4	University of Oxford	牛津大学	英国
6	University of California, Berkeley	加利福尼亚大学伯克利分校	美国
7	Harvard University	哈佛大学	美国
8	University of Cambridge	剑桥大学	英国
9	Nanyang Technological University, Singapore	南洋理工大学	新加坡
10	ETH Zurich	苏黎世联邦理工学院	瑞士
11	Tsinghua University	清华大学	中国
12	Imperial College London	帝国理工学院	英国
13	University of Toronto	多伦多大学	加拿大
14	Princeton University	普林斯顿大学	美国
15	École Polytechnique Fédérale de Lausanne (EPFL)	洛桑联邦理工学院	瑞士
16	Peking University	北京大学	中国
17	Cornell University	康奈尔大学	美国
18	Institute of Science Tokyo	东京科学大学	日本
19	University of California, Los Angeles (UCLA)	加利福尼亚大学洛杉矶分校	美国
20	University College London (UCL)	伦敦大学学院	英国
21	Yale University	耶鲁大学	美国
22	Columbia University	哥伦比亚大学	美国
22	New York University (NYU)	纽约大学	美国
22	University of Edinburgh	爱丁堡大学	英国
22	University of Washington	华盛顿大学	美国
26	Technical University of Munich (TUM)	慕尼黑工业大学	德国
27	The University of Hong Kong	香港大学	中国香港
27	University of British Columbia (UBC)	不列颠哥伦比亚大学	加拿大
27	University of Waterloo	滑铁卢大学	加拿大
30	Shanghai Jiao Tong University (SJTU)	上海交通大学	中国
31	The University of Melbourne	墨尔本大学	澳大利亚
32	University of Illinois Urbana-Champaign (UIUC)	伊利诺伊大学厄巴纳-香槟分校	美国
33	The Hong Kong University of Science and Technology	香港科技大学	中国香港
34	Georgia Institute of Technology	佐治亚理工学院	美国
34	Zhejiang University	浙江大学	中国
36	University of Pennsylvania	宾夕法尼亚大学	美国
37	The Chinese University of Hong Kong (CUHK)	香港中文大学	中国香港
38	The University of Sydney	悉尼大学	澳大利亚
39	The University of Texas at Austin	得克萨斯大学奥斯汀分校	美国
40	California Institute of Technology (Caltech)	加州理工学院	美国
41	The University of Tokyo	东京大学	日本
42	University of California San Diego (UCSD)	加利福尼亚大学圣地亚哥分校	美国
43	McGill University	麦吉尔大学	加拿大
44	Indian Institute of Technology Bombay	印度理工学院孟买分校	印度
45	Indian Institute of Technology Delhi	印度理工学院德里分校	印度
46	King's College London (KCL)	伦敦国王学院	英国
47	Seoul National University	首尔大学	韩国
48	Australian National University (ANU)	澳大利亚国立大学	澳大利亚
49	Fudan University	复旦大学	中国
50	Delft University of Technology	代尔夫特理工大学	荷兰
51	Monash University	蒙纳士大学	澳大利亚
52	Sorbonne Université	索邦大学	法国
52	University of Michigan	密歇根大学	美国
54	UNSW Sydney	新南威尔士大学	澳大利亚
55	University of Technology Sydney	悉尼科技大学	澳大利亚
56	Institut Polytechnique de Paris	巴黎理工学院	法国
56	Université de Montréal	蒙特利尔大学	加拿大
58	Politecnico di Milano	米兰理工大学	意大利
58	The University of Manchester	曼彻斯特大学	英国
60	Tecnológico de Monterrey	蒙特雷科技大学	墨西哥
61	KTH Royal Institute of Technology	皇家理工学院	瑞典
62	University of Amsterdam	阿姆斯特丹大学	荷兰
63	KU Leuven	荷语鲁汶大学	比利时
64	University of Chicago	芝加哥大学	美国
65	Indian Institute of Technology Kanpur	印度理工学院坎普尔分校	印度
66	Purdue University	普渡大学	美国
67	City University of Hong Kong	香港城市大学	中国香港
67	Indian Institute of Technology Kharagpur	印度理工学院卡拉格普尔分校	印度
67	Johns Hopkins University	约翰斯·霍普金斯大学	美国
70	The Hong Kong Polytechnic University	香港理工大学	中国香港
71	Universidade de São Paulo	圣保罗大学	巴西
72	Sapienza University of Rome	罗马大学	意大利
73	Adelaide University	阿德莱德大学	澳大利亚
73	University of Southern California (USC)	南加州大学	美国
73	Université Paris-Saclay	巴黎-萨克雷大学	法国
76	Technische Universität Berlin	柏林工业大学	德国
76	Université PSL	巴黎文理研究大学	法国
78	Queen Mary University of London	伦敦玛丽女王大学	英国
79	Indian Institute of Technology Madras (IITM)	印度理工学院马德拉斯分校	印度
80	Nanjing University	南京大学	中国
80	Yonsei University	延世大学	韩国
82	Korea University	高丽大学	韩国
82	University of Science and Technology of China	中国科学技术大学	中国
84	University of Warwick	华威大学	英国
85	Harbin Institute of Technology	哈尔滨工业大学	中国
86	University of Malaya	马来亚大学	马来西亚
86	Vellore Institute of Technology (VIT)	维洛理工学院	印度
88	National Taiwan University	台湾大学	中国台湾
88	University of Maryland, College Park	马里兰大学帕克分校	美国
90	Beijing Institute of Technology	北京理工大学	中国
91	Duke University	杜克大学	美国
91	Ludwig-Maximilians-Universität München (LMU)	慕尼黑大学	德国
93	Lomonosov Moscow State University	莫斯科国立大学	俄罗斯
93	University of Auckland	奥克兰大学	新西兰
95	University of Bologna	博洛尼亚大学	意大利
95	Boston University	波士顿大学	美国
95	Kyoto University	京都大学	日本
95	Pennsylvania State University	宾夕法尼亚州立大学	美国
99	TU Wien	维也纳科技大学	奥地利
99	The University of Queensland	昆士兰大学	澳大利亚
