301-350	Bauman Moscow State Technical University	鲍曼莫斯科国立技术大学	俄罗斯	51.6-54.2
301-350	Birkbeck, University of London	伦敦大学伯贝克学院	英国	51.6-54.2
301-350	China Medical University, Taiwan	中国医药大学	中国台湾	51.6-54.2
301-350	City St George’s, University of London	伦敦大学城市圣乔治学院	英国	51.6-54.2
301-350	Dublin City University	都柏林城市大学	爱尔兰	51.6-54.2
301-350	École Normale Supérieure de Lyon	里昂高等师范学院	法国	51.6-54.2
301-350	Flinders University	弗林德斯大学	澳大利亚	51.6-54.2
301-350	Florida State University	佛罗里达州立大学	美国	51.6-54.2
301-350	Hasselt University	哈塞尔特大学	比利时	51.6-54.2
301-350	Illinois Institute of Technology	伊利诺伊理工大学	美国	51.6-54.2
301-350	Johannes Gutenberg University of Mainz	美因茨约翰内斯·古腾堡大学	德国	51.6-54.2
301-350	Koç University	科克大学	土耳其	51.6-54.2
301-350	Kyushu University	九州大学	日本	51.6-54.2
301-350	Lingnan University Hong Kong	岭南大学	中国香港	51.6-54.2
301-350	Loughborough University	拉夫堡大学	英国	51.6-54.2
301-350	North Carolina State University	北卡罗来纳州立大学	美国	51.6-54.2
301-350	Norwegian University of Science and Technology	挪威科技大学	挪威	51.6-54.2
301-350	Prince Mohammad Bin Fahd University	穆罕默德·本·法赫德王子大学	沙特阿拉伯	51.6-54.2
301-350	Queen’s University	女王大学	加拿大	51.6-54.2
301-350	Rutgers University–New Brunswick	罗格斯大学新布朗斯维克分校	美国	51.6-54.2
301-350	Simon Fraser University	西蒙菲莎大学	加拿大	51.6-54.2
301-350	Stellenbosch University	斯坦陵布什大学	南非	51.6-54.2
301-350	Stony Brook University	纽约州立大学石溪分校	美国	51.6-54.2
301-350	Sunway University	双威大学	马来西亚	51.6-54.2
301-350	Swansea University	斯旺西大学	英国	51.6-54.2
301-350	Tampere University	坦佩雷大学	芬兰	51.6-54.2
301-350	Technion Israel Institute of Technology	以色列理工学院	以色列	51.6-54.2
