1	University of Oxford	牛津大学	英国	97.7
2	University of Cambridge	剑桥大学	英国	97.1
3	ETH Zurich	苏黎世联邦理工学院	瑞士	96.3
4	Massachusetts Institute of Technology	麻省理工学院	美国	96.2
5	Princeton University	普林斯顿大学	美国	96.1
6	Stanford University	斯坦福大学	美国	95.9
7	Carnegie Mellon University	卡内基梅隆大学	美国	95.5
8	Harvard University	哈佛大学	美国	93.8
9	Imperial College London	帝国理工学院	英国	93.5
10	Peking University	北京大学	中国	93.2
11	California Institute of Technology	加州理工学院	美国	93.1
12	Tsinghua University	清华大学	中国	93.0
13	National University of Singapore	新加坡国立大学	新加坡	92.8
13	University of California, Berkeley	加州大学伯克利分校	美国	92.8
15	Technical University of Munich	慕尼黑工业大学	德国	91.5
16	Nanyang Technological University, Singapore	南洋理工大学	新加坡	90.9
17	Cornell University	康奈尔大学	美国	90.7
18	University of California, Los Angeles	加州大学洛杉矶分校	美国	90.6
19	University of Illinois at Urbana-Champaign	伊利诺伊大学厄巴纳-香槟分校	美国	89.6
20	University of Washington	华盛顿大学	美国	89.1
21	École Polytechnique Fédérale de Lausanne	洛桑联邦理工学院	瑞士	88.2
22	University of Toronto	多伦多大学	加拿大	87.7
23	Zhejiang University	浙江大学	中国	87.2
24	Columbia University	哥伦比亚大学	美国	86.6
25	Shanghai Jiao Tong University	上海交通大学	中国	86.3
25	The Hong Kong University of Science and Technology	香港科技大学	中国香港	86.3
27	Yale University	耶鲁大学	美国	86.1
28	Georgia Institute of Technology	佐治亚理工学院	美国	85.6
29	New York University	纽约大学	美国	85.4
30	University of Texas at Austin	得克萨斯大学奥斯汀分校	美国	84.6
31	University of Michigan-Ann Arbor	密歇根大学安娜堡分校	美国	84.4
32	Korea Advanced Institute of Science and Technology (KAIST)	韩国科学技术院	韩国	84.2
33	Johns Hopkins University	约翰斯·霍普金斯大学	美国	83.9
34	The Chinese University of Hong Kong	香港中文大学	中国香港	83.7
35	University of Edinburgh	爱丁堡大学	英国	83.5
36	University of California, San Diego	加州大学圣迭戈分校	美国	83.4
37	The University of Tokyo	东京大学	日本	82.8
38	UCL	伦敦大学学院	英国	82.7
39	University of Pennsylvania	宾夕法尼亚大学	美国	81.3
40	The University of Chicago	芝加哥大学	美国	80.0
41	University of Waterloo	滑铁卢大学	加拿大	79.6
42	Paris Sciences et Lettres – PSL Research University Paris	巴黎文理研究大学	法国	78.6
43	Institut Polytechnique de Paris	巴黎理工学院	法国	78.2
44	Seoul National University	首尔大学	韩国	76.6
45	Delft University of Technology	代尔夫特理工大学	荷兰	76.3
46	Fudan University	复旦大学	中国	75.2
47	University of Hong Kong	香港大学	中国香港	75.1
48	KU Leuven	荷语鲁汶大学	比利时	75.0
49	University of Science and Technology of China	中国科学技术大学	中国	74.6
50	LMU Munich	慕尼黑大学	德国	73.9
51	Purdue University West Lafayette	普渡大学西拉法叶校区	美国	73.6
52	Université de Montréal	蒙特利尔大学	加拿大	73.4
53	University of Melbourne	墨尔本大学	澳大利亚	72.6
54	University of Southern California	南加州大学	美国	72.5
55	University of Wisconsin-Madison	威斯康星大学麦迪逊分校	美国	72.1
56	University of Massachusetts	马萨诸塞大学	美国	71.8
57	University of British Columbia	不列颠哥伦比亚大学	加拿大	71.7
58	University of California, Santa Barbara	加州大学圣巴巴拉分校	美国	71.0
59	Duke University	杜克大学	美国	70.9
60	Nanjing University	南京大学	中国	70.7
61	City University of Hong Kong	香港城市大学	中国香港	69.9
62	RWTH Aachen University	亚琛工业大学	德国	69.7
63	Monash University	莫纳什大学	澳大利亚	69.6
63	University of Maryland, College Park	马里兰大学帕克分校	美国	69.6
65	Université Paris-Saclay	巴黎-萨克雷大学	法国	69.4
66	KTH Royal Institute of Technology	瑞典皇家理工学院	瑞典	68.8
67	Brown University	布朗大学	美国	68.3
68	The University of Sydney	悉尼大学	澳大利亚	67.8
69	University of Amsterdam	阿姆斯特丹大学	荷兰	67.0
70	Kyoto University	京都大学	日本	66.9
70	The Hong Kong Polytechnic University	香港理工大学	中国香港	66.9
71	TU Wien	维也纳工业大学	奥地利	66.8
73	Technical University of Berlin	柏林工业大学	德国	66.6
74	McGill University	麦吉尔大学	加拿大	66.3
75	Technical University of Darmstadt	达姆施塔特工业大学	德国	66.0
76	University of Manchester	曼彻斯特大学	英国	65.7
77	University of Alberta	阿尔伯塔大学	加拿大	65.3
78	Sungkyunkwan University (SKKU)	成均馆大学	韩国	65.1
78	UNSW Sydney	新南威尔士大学	澳大利亚	65.1
80	University of California, Irvine	加州大学欧文分校	美国	64.9
81	Institute of Science Tokyo	东京科学大学	日本	64.5
81	Michigan State University	密歇根州立大学	美国	64.5
82	Yonsei University (Seoul campus)	延世大学	韩国	64.4
83	Australian National University	澳大利亚国立大学	澳大利亚	64.1
83	Karlsruhe Institute of Technology	卡尔斯鲁厄理工学院	德国	64.1
85	Sorbonne University	索邦大学	法国	63.8
86	Northwestern University	西北大学	美国	63.6
87	Aalto University	阿尔托大学	芬兰	63.5
88	Tohoku University	东北大学	日本	63.3
89	Harbin Institute of Technology	哈尔滨工业大学	中国	62.7
89	University of Tübingen	蒂宾根大学	德国	62.7
91	Korea University	高丽大学	韩国	62.4
92	University of Technology Sydney	悉尼科技大学	澳大利亚	62.2
93	Eindhoven University of Technology	埃因霍温理工大学	荷兰	62.1
94	Aarhus University	奥胡斯大学	丹麦	61.1
95	King’s College London	伦敦国王学院	英国	60.9
96	Adelaide University	阿德莱德大学	澳大利亚	59.5
96	Indian Institute of Science	印度科学理工学院	印度	59.5
97	Wuhan University	武汉大学	中国	59.3
98	Northeastern University, US	东北大学（美国）	美国	59.2
98	University of Copenhagen	哥本哈根大学	丹麦	59.2
100	Beihang University	北京航空航天大学	中国	59.1
