301	Stellenbosch University	斯泰伦博斯大学	南非
302	University of Milan - Bicocca	米兰比科卡大学	意大利
303	Wuhan University of Technology	武汉理工大学	中国内地
304	Alexandria University	亚历山大大学	埃及
305	Zagazig University	扎加齐格大学	埃及
306	King Khalid University	哈立德国王大学	沙特阿拉伯
307	Linköping University	林雪平大学	瑞典
308	Sejong University	世宗大学	韩国
309	University of Erlangen Nuremberg	埃尔朗根-纽伦堡大学	德国
310	Western University	韦仕敦大学	加拿大
311	University of Malaya	马来亚大学	马来西亚
312	Soochow University	苏州大学	中国内地
313	University of Connecticut	康涅狄格大学	美国
314	Florida State University	佛罗里达州立大学	美国
315	University of Duisburg-Essen	杜伊斯堡-埃森大学	德国
316	University of Lagos	拉各斯大学	尼日利亚
317	University of Tehran	德黑兰大学	伊朗
318	City St Georges, University of London	伦敦大学城市圣乔治学院	英国
319	Nanjing Agricultural University	南京农业大学	中国内地
320	Australian Catholic University	澳大利亚天主教大学	澳大利亚
321	Universite Grenoble Alpes (UGA)	格勒诺布尔-阿尔卑斯大学	法国
322	King Fahd University of Petroleum and Minerals (KFUPM)	法赫德国王石油与矿业大学	沙特阿拉伯
323	University of Maryland--Baltimore	马里兰大学巴尔的摩分校	美国
324	Jinan University	暨南大学	中国内地
325	Lancaster University	兰卡斯特大学	英国
326	University of Potsdam	波茨坦大学	德国
327	University of Texas Health Science Center--Houston	得克萨斯大学休斯顿健康科学中心	美国
328	Institut Polytechnique de Paris	巴黎综合理工学院	法国
329	Nagoya University	名古屋大学	日本
330	University of York	约克大学	英国
331	Dartmouth College	达特茅斯学院	美国
332	Kyushu University	九州大学	日本
333	University of Strasbourg	斯特拉斯堡大学	法国
334	University Paul Sabatier - Toulouse 3	保罗-萨巴蒂耶图卢兹第三大学	法国
335	University of Georgia	佐治亚大学	美国
336	Pontificia University Católica de Chile	智利天主教大学	智利
337	University of Tennessee	田纳西大学	美国
338	Institute of Science Tokyo	东京科学大学	日本
339	University of Surrey	萨里大学	英国
340	Khalifa University of Science and Technology	哈利法科学技术大学	阿联酋
341	Polytechnic University of Milan	米兰理工大学	意大利
342	Scuola Normale Superiore di Pisa	比萨高等师范学校	意大利
343	Catholic University of Sacred Heart	天主教圣心大学	意大利
344	Renmin University of China	中国人民大学	中国内地
345	Pohang University of Science and Technology	浦项科技大学	韩国
346	University of Southern Queensland	南昆士兰大学	澳大利亚
347	Colorado State University	科罗拉多州立大学	美国
348	Chalmers University of Technology	查尔姆斯理工大学	瑞典
349	University of Buenos Aires	布宜诺斯艾利斯大学	阿根廷
350	University of Oulu	奥卢大学	芬兰
351	China Medical University Taiwan	中国医药大学	中国台湾
352	Huazhong Agricultural University	华中农业大学	中国内地
353	ShanghaiTech University	上海科技大学	中国内地
354	Université de Lille	里尔大学	法国
355	National Autonomous University of Mexico	墨西哥国立自治大学	墨西哥
356	University of Science and Technology Beijing	北京科技大学	中国内地
357	Jiangnan University	江南大学	中国内地
358	University of Kansas	堪萨斯大学	美国
359	Beijing University of Chemical Technology	北京化工大学	中国内地
360	Singapore University of Technology and Design	新加坡科技设计大学	新加坡
361	State University of Campinas	坎皮纳斯州立大学	巴西
362	University of South Florida	南佛罗里达大学	美国
363	University of Turku	图尔库大学	芬兰
364	Free University of Brussels	布鲁塞尔自由大学	比利时
365	Ruhr University Bochum	波鸿鲁尔大学	德国
366	Temple University	天普大学	美国
367	University College Cork	科克大学学院	爱尔兰
368	University of Pavia	帕维亚大学	意大利
369	University at Buffalo--SUNY	纽约州立大学布法罗分校	美国
370	University of Granada	格拉纳达大学	西班牙
371	Claude Bernard University Lyon 1	克洛德-贝尔纳里昂第一大学	法国
372	Hong Kong Baptist University	香港浸会大学	中国香港
373	Tulane University	杜兰大学	美国
374	University of Trento	特伦托大学	意大利
375	University of St. Andrews	圣安德鲁斯大学	英国
376	Flinders University	弗林德斯大学	澳大利亚
377	University of Aberdeen	阿伯丁大学	英国
378	Peking Union Medical College	北京协和医学院	中国内地
379	Universiti Sains Malaysia	马来西亚理科大学	马来西亚
380	University of Notre Dame	圣母大学	美国
381	Xidian University	西安电子科技大学	中国内地
382	Fuzhou University	福州大学	中国内地
383	James Cook University	詹姆斯·库克大学	澳大利亚
384	Northeastern University - China	东北大学	中国内地
385	Zhejiang Normal University	浙江师范大学	中国内地
386	Nanjing Forestry University	南京林业大学	中国内地
387	University of Bath	巴斯大学	英国
388	University of Genoa	热那亚大学	意大利
389	University of Kiel	基尔大学	德国
390	University of Houston	休斯敦大学	美国
391	Aristotle University of Thessaloniki	塞萨洛尼基亚里士多德大学	希腊
392	University of Rome Tor Vergata	罗马第二大学	意大利
393	University of South Carolina--Columbia	南卡罗来纳大学哥伦比亚分校	美国
394	Duy Tan University	维新大学	越南
395	Jagiellonian University	雅盖隆大学	波兰
396	Swansea University	斯旺西大学	英国
397	Technion Israel Institute of Technology	以色列理工学院	以色列
398	University of Central Florida	中佛罗里达大学	美国
399	University of Navarra	纳瓦拉大学	西班牙
400	Eindhoven University of Technology	埃因霍温理工大学	荷兰
401	Iowa State University	艾奥瓦州立大学	美国
402	University of Ulm	乌尔姆大学	德国
403	Virginia Commonwealth University	弗吉尼亚联邦大学	美国
404	University of Trieste	的里雅斯特大学	意大利
405	Assiut University	阿斯尤特大学	埃及
406	Hokkaido University	北海道大学	日本
407	University of East Anglia	东安格利亚大学	英国
408	Kyung Hee University	庆熙大学	韩国
409	University of Reading	雷丁大学	英国
410	COMSATS University Islamabad (CUI)	伊斯兰堡COMSATS大学	巴基斯坦
411	Dalhousie University	戴尔豪斯大学	加拿大
412	Friedrich Schiller University of Jena	弗里德里希-席勒耶拿大学	德国
413	Louisiana State University--Baton Rouge	路易斯安那州立大学巴顿鲁治分校	美国
414	Universitat Politècnica de Catalunya	加泰罗尼亚理工大学	西班牙
415	Hanyang University	汉阳大学	韩国
416	Queen's University	女王大学	加拿大
417	Oregon State University	俄勒冈州立大学	美国
418	University of Pretoria	比勒陀利亚大学	南非
419	University of Twente	特文特大学	荷兰
420	University of Victoria	维多利亚大学	加拿大
421	Ulsan National Institute of Science and Technology	蔚山国立科学技术大学	韩国
422	University of Chile	智利大学	智利
423	University of KwaZulu Natal	夸祖鲁-纳塔尔大学	南非
424	University of Liège	列日大学	比利时
425	Lanzhou University	兰州大学	中国内地
426	Ocean University of China	中国海洋大学	中国内地
427	Washington State University	华盛顿州立大学	美国
428	Tanta University	坦塔大学	埃及
429	Central China Normal University	华中师范大学	中国内地
430	Federal University of Rio Grande do Sul	南里奥格兰德联邦大学	巴西
431	Universiti Teknologi Malaysia	马来西亚理工大学	马来西亚
432	University of Bari	巴里大学	意大利
433	University of Kentucky	肯塔基大学	美国
434	University of Oregon	俄勒冈大学	美国
435	Edith Cowan University	埃迪斯科文大学	澳大利亚
436	University of Warsaw	华沙大学	波兰
437	University of Dundee	邓迪大学	英国
438	University of Mississippi	密西西比大学	美国
439	University of Seville	塞维利亚大学	西班牙
440	Heinrich Heine University of Dusseldorf	海因里希-海涅杜塞尔多夫大学	德国
441	Nanjing University of Science and Technology	南京理工大学	中国内地
442	Umeå University	于默奥大学	瑞典
443	University of Missouri	密苏里大学	美国
444	Nanjing University of Aeronautics and Astronautics	南京航空航天大学	中国内地
445	Simon Fraser University	西蒙菲莎大学	加拿大
446	University of Coimbra	科英布拉大学	葡萄牙
447	Qingdao University	青岛大学	中国内地
448	University of Colorado--Denver	科罗拉多大学丹佛分校	美国
449	University of Innsbruck	因斯布鲁克大学	奥地利
450	University of the Philippines Manila	菲律宾大学马尼拉分校	菲律宾
451	Baylor University	贝勒大学	美国
452	Liverpool John Moores University	利物浦约翰摩尔斯大学	英国
453	Quaid I Azam University	真纳大学	巴基斯坦
454	Tampere University	坦佩雷大学	芬兰
455	University of Belgrade	贝尔格莱德大学	塞尔维亚
456	University of the Basque Country	巴斯克大学	西班牙
457	Hohai University	河海大学	中国内地
458	Koç University	科奇大学	土耳其
459	Université Côte d'Azur	蔚蓝海岸大学	法国
460	Humanitas University	休玛尼塔斯大学	意大利
461	Islamic Azad University	伊斯兰阿扎德大学	伊朗
462	Kafrelsheikh University	卡夫拉谢赫大学	埃及
463	Murdoch University	默多克大学	澳大利亚
