1	Tsinghua University	清华大学	中国
2	Nanyang Technological University	南洋理工大学	新加坡
3	Zhejiang University	浙江大学	中国
4	Peking University	北京大学	中国
5	National University of Singapore	新加坡国立大学	新加坡
6	University of Electronic Science and Technology of China	电子科技大学	中国
7	University of Science and Technology of China	中国科学技术大学	中国
8	Wuhan University	武汉大学	中国
9	Chinese University of Hong Kong	香港中文大學	中国香港特别行政区
10	Huazhong University of Science and Technology	华中科技大学	中国
10	Shanghai Jiao Tong University	上海交通大学	中国
12	Harbin Institute of Technology	哈尔滨工业大学	中国
13	Northwestern Polytechnical University	西北工业大学	中国
14	Beihang University	北京航空航天大学	中国
15	University of Technology Sydney	悉尼科技大学	澳大利亚
16	University of Hong Kong	香港大学	中国香港特别行政区
17	University of Chinese Academy of Sciences	中国科学院大学	中国
18	Nanjing University of Science and Technology	南京理工大学	中国
19	ETH Zurich	苏黎世联邦理工学院	瑞士
20	Xidian University	西安电子科技大学	中国
21	Xi'an Jiaotong University	西安交通大学	中国
22	The University of Sydney	悉尼大学	澳大利亚
23	Hong Kong Polytechnic University	香港理工大學	中国香港特别行政区
24	Sun Yat-sen University	中山大学	中国
25	Hong Kong University of Science and Technology	香港科技大学	中国香港特别行政区
26	City University of Hong Kong	香港城市大学	中国香港特别行政区
27	Southeast University	东南大学	中国
28	South China University of Technology	华南理工大学	中国
29	Monash University	蒙纳士大学	澳大利亚
29	Tianjin University	天津大学	中国
31	Beijing Institute of Technology	北京理工大学	中国
32	Yonsei University	延世大学	韩国
33	University of Oxford	牛津大学	英国
34	Dalian University of Technology	大连理工大学	中国
35	Sichuan University	四川大学	中国
36	Nankai University	南开大学	中国
37	Adelaide University	阿德莱德大学	澳大利亚
38	Nanjing University	南京大学	中国
39	Carnegie Mellon University	卡内基梅隆大学	美国
40	University of Surrey	萨里大学	英国
41	Fudan University	复旦大学	中国
42	University of Macau	澳门大学	中国澳门特别行政区
43	Xiamen University	厦门大学	中国
44	Stanford University	斯坦福大学	美国
45	Massachusetts Institute of Technology	麻省理工学院	美国
46	Hunan University	湖南大学	中国
46	University of California, Berkeley	加州大学伯克利分校	美国
48	Wenzhou University	温州大学	中国
49	Shenzhen University	深圳大学	中国
49	Southern University of Science and Technology	南方科技大学	中国
51	Technical University of Munich	慕尼黑工业大学	德国
52	Northeastern University	东北大学	中国
53	Tongji University	同济大学	中国
54	Shandong University	山东大学	中国
54	University of Toronto	多伦多大学	加拿大
56	Imperial College London	伦敦帝国学院	英国
57	National University of Defense Technology	国防科技大学	中国
58	University of Washington	华盛顿大学	美国
59	Hefei University of Technology	合肥工业大学	中国
60	University of Alberta	阿尔伯塔大学	加拿大
61	Harvard University	哈佛大学	美国
62	University of Illinois Chicago	伊利诺大学芝加哥分校	美国
63	Johns Hopkins University	约翰·霍普金斯大学	美国
64	Chongqing University	重庆大学	中国
65	University of Cambridge	剑桥大学	英国
66	King Abdulaziz University	阿卜杜勒阿齐兹国王大学	沙特阿拉伯
67	Central South University	中南大学	中国
67	Nanjing University of Aeronautics and Astronautics	南京航空航天大学	中国
69	Universidad de Granada	格拉纳达大学	西班牙
70	Australian National University	澳大利亚国立大学	澳大利亚
71	University College London	伦敦大学学院	英国
72	China University of Geosciences	中国地质大学	中国
